municipio,participacao
Alta Floresta D'Oeste,0.00815
Ariquemes,0.03562
Cabixi,0.00265
Cacoal,0.03098
Cerejeiras,0.00824
Colorado do Oeste,0.00471
Corumbiara,0.0044
Costa Marques,0.00351
Espigão D'Oeste,0.00858
Guajará-Mirim,0.0117
Jaru,0.01959
Ji-Paraná,0.04695
Machadinho D'Oeste,0.00988
Nova Brasilândia D'Oeste,0.00609
Ouro Preto do Oeste,0.01094
Pimenta Bueno,0.01823
Porto Velho,0.22258
Presidente Médici,0.00621
Rio Crespo,0.00205
Rolim de Moura,0.01737
Santa Luzia D'Oeste,0.00237
Vilhena,0.04677
São Miguel do Guaporé,0.01005
Nova Mamoré,0.00824
Alvorada D'Oeste,0.00391
Alto Alegre dos Parecis,0.00537
Alto Paraíso,0.00566
Buritis,0.01072
Novo Horizonte do Oeste,0.00257
Cacaulândia,0.00306
Campo Novo de Rondônia,0.0041
Candeias do Jamari,0.00727
Castanheiras,0.00111
Chupinguaia,0.0052
Cujubim,0.00541
Governador Jorge Teixeira,0.00266
Itapuã do Oeste,0.00233
Ministro Andreazza,0.00331
Mirante da Serra,0.00291
Monte Negro,0.00433
Nova União,0.00175
Parecis,0.00172
Pimenteiras do Oeste,0.00273
Primavera de Rondônia,0.00119
São Felipe D'Oeste,0.00145
São Francisco do Guaporé,0.00542
Seringueiras,0.00369
Teixeirópolis,0.00135
Theobroma,0.00286
Urupá,0.00303
Vale do Anari,0.00245
Vale do Paraíso,0.00206
Acrelândia,0.00442
Assis Brasil,0.00149
Brasiléia,0.00761
Bujari,0.00334
Capixaba,0.00569
Cruzeiro do Sul,0.02284
Epitaciolândia,0.00715
Feijó,0.00629
Jordão,0.00126
Mâncio Lima,0.00299
Manoel Urbano,0.00205
Marechal Thaumaturgo,0.00285
Plácido de Castro,0.00667
Porto Walter,0.00178
Rio Branco,0.12157
Rodrigues Alves,0.00284
Santa Rosa do Purus,0.0012
Senador Guiomard,0.00865
Sena Madureira,0.0083
Tarauacá,0.0079
Xapuri,0.00505
Porto Acre,0.00523
Alvarães,0.00241
Amaturá,0.00132
Anamã,0.00154
Anori,0.00276
Apuí,0.0033
Atalaia do Norte,0.00205
Autazes,0.00562
Barcelos,0.00273
Barreirinha,0.00383
Benjamin Constant,0.00431
Beruri,0.00235
Boa Vista do Ramos,0.00202
Boca do Acre,0.00569
Borba,0.00446
Caapiranga,0.00197
Canutama,0.00171
Carauari,0.00411
Careiro,0.00439
Careiro da Várzea,0.00459
Coari,0.03751
Codajás,0.0059
Eirunepé,0.0063
Envira,0.00239
Fonte Boa,0.00247
Guajará,0.00197
Humaitá,0.00954
Ipixuna,0.0024
Iranduba,0.01112
Itacoatiara,0.02608
Itamarati,0.0015
Itapiranga,0.00169
Japurá,0.00095
Juruá,0.00153
Jutaí,0.00296
Lábrea,0.00694
Manacapuru,0.01714
Manaquiri,0.00345
Manaus,1.14603
Manicoré,0.00762
Maraã,0.00196
Maués,0.00661
Nhamundá,0.0023
Nova Olinda do Norte,0.00379
Novo Airão,0.00207
Novo Aripuanã,0.0028
Parintins,0.01583
Pauini,0.00221
Presidente Figueiredo,0.01145
Rio Preto da Eva,0.00452
Santa Isabel do Rio Negro,0.00206
Santo Antônio do Içá,0.00263
São Gabriel da Cachoeira,0.00469
São Paulo de Olivença,0.00371
São Sebastião do Uatumã,0.00152
Silves,0.00194
Tabatinga,0.00841
Tapauá,0.00266
Tefé,0.01219
Tonantins,0.00206
Uarini,0.00254
Urucará,0.00228
Urucurituba,0.00258
Amajari,0.00267
Alto Alegre,0.00428
Boa Vista,0.14972
Bonfim,0.0058
Cantá,0.00392
Caracaraí,0.00503
Caroebe,0.00263
Iracema,0.00231
Mucajaí,0.00437
Normandia,0.00225
Pacaraima,0.00365
Rorainópolis,0.00813
São João da Baliza,0.00364
São Luiz,0.00199
Uiramutã,0.0016
Abaetetuba,0.02163
Abel Figueiredo,0.00117
Acará,0.01591
Afuá,0.00493
Água Azul do Norte,0.00714
Alenquer,0.00827
Almeirim,0.00764
Altamira,0.03462
Anajás,0.00287
Ananindeua,0.0992
Anapu,0.00652
Augusto Corrêa,0.00404
Aurora do Pará,0.00342
Aveiro,0.00169
Bagre,0.00278
Baião,0.00624
Bannach,0.00143
Barcarena,0.10257
Belém,0.37136
Belterra,0.00263
Benevides,0.02205
Bom Jesus do Tocantins,0.00271
Bonito,0.00229
Bragança,0.01542
Brasil Novo,0.00421
Brejo Grande do Araguaia,0.00128
Breu Branco,0.00881
Breves,0.00992
Bujaru,0.00596
Cachoeira do Piriá,0.00253
Cachoeira do Arari,0.00284
Cametá,0.01546
Canaã dos Carajás,0.38825
Capanema,0.01584
Capitão Poço,0.00683
Castanhal,0.05226
Chaves,0.00275
Colares,0.00112
Conceição do Araguaia,0.00735
Concórdia do Pará,0.00466
Cumaru do Norte,0.00452
Curionópolis,0.04069
Curralinho,0.00313
Curuá,0.00166
Curuçá,0.0041
Dom Eliseu,0.01044
Eldorado do Carajás,0.00617
Faro,0.00085
Floresta do Araguaia,0.00669
Garrafão do Norte,0.00306
Goianésia do Pará,0.00562
Gurupá,0.00371
Igarapé-Açu,0.00461
Igarapé-Miri,0.00767
Inhangapi,0.00194
Ipixuna do Pará,0.00694
Irituia,0.00308
Itaituba,0.03416
Itupiranga,0.00934
Jacareacanga,0.00694
Jacundá,0.00683
Juruti,0.01611
Limoeiro do Ajuru,0.00558
Mãe do Rio,0.00378
Magalhães Barata,0.00109
Marabá,0.15005
Maracanã,0.00322
Marapanim,0.00293
Marituba,0.02861
Medicilândia,0.01136
Melgaço,0.00241
Mocajuba,0.00502
Moju,0.01496
Mojuí dos Campos,0.0032
Monte Alegre,0.00896
Muaná,0.00376
Nova Esperança do Piriá,0.00389
Nova Ipixuna,0.00214
Nova Timboteua,0.00164
Novo Progresso,0.01078
Novo Repartimento,0.01239
Óbidos,0.01072
Oeiras do Pará,0.00465
